Time,/fdm/jsbsim/simulation/sim-time-sec,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/h-sl-ft,/fdm/jsbsim/position/h-agl-ft,/fdm/jsbsim/attitude/phi-deg,/fdm/jsbsim/attitude/theta-deg,/fdm/jsbsim/attitude/psi-deg,/fdm/jsbsim/velocities/vt-fps,/fdm/jsbsim/velocities/vc-kts,/fdm/jsbsim/velocities/v-north-fps,/fdm/jsbsim/velocities/v-east-fps,/fdm/jsbsim/velocities/v-down-fps,/fdm/jsbsim/velocities/p-rad_sec,/fdm/jsbsim/velocities/q-rad_sec,/fdm/jsbsim/velocities/r-rad_sec,/fdm/jsbsim/accelerations/udot-ft_sec2,/fdm/jsbsim/accelerations/vdot-ft_sec2,/fdm/jsbsim/accelerations/wdot-ft_sec2,/fdm/jsbsim/aero/alpha-rad,/fdm/jsbsim/fcs/throttle-cmd-norm,/fdm/jsbsim/fcs/rato-throttle-cmd-norm,/fdm/jsbsim/propulsion/engine/thrust-lbs,/fdm/jsbsim/propulsion/engine[1]/thrust-lbs,/fdm/jsbsim/propulsion/engine[2]/thrust-lbs,/fdm/jsbsim/inertia/weight-lbs,/fdm/jsbsim/inertia/mass-slugs,/fdm/jsbsim/fcs/aileron-cmd-norm,/fdm/jsbsim/fcs/elevator-cmd-norm,/fdm/jsbsim/fcs/rudder-cmd-norm,/fdm/jsbsim/fcs/left-elevon-pos-rad,/fdm/jsbsim/fcs/right-elevon-pos-rad,/fdm/jsbsim/fcs/rudder3-pos-rad,/fdm/jsbsim/fcs/rudder4-pos-rad,/fdm/jsbsim/aero/sr75/roll_moment,/fdm/jsbsim/aero/sr75/pitch_moment,/fdm/jsbsim/aero/sr75/yaw_moment
0,0,32.3636334818202869,74.366193999999993,4.26511158794164658,4.26509186248536309,5.56597069256115434e-15,2.30550117459535723e-15,314.999988999999914,0,0,0,0,0,0,0,0,0.733649521014235528,6.10313473358783942e-05,32.1368651007885617,0,0,0,3.05823077551511435,3.05823077551511435,0,268.258480626558992,8.33772835450580097,0,0,0,0,0,0,0,0,0,0
0.02833333333,0.0283333333333333111,32.3636334509260308,74.3661939999989272,0.558597389608621597,0.558594814002924323,1.76029457363916838e-07,-1.86865892242064469,314.999988930361269,1.03210043078464769e-05,0,1.32354805064373354e-06,3.31327824764751251e-07,1.02304238598781332e-05,-2.36680838929250142e-08,-1.25381942717775328e-06,7.27623009899049621e-10,7.92005339101953254e-05,6.10517634076949782e-05,0.000330823876367188074,0,0,0,3.06066583546303095,3.05847124463587772,0,268.257903248142554,8.33771040903625682,0,0,0,0,0,0,0,1.13002010266444538e-13,7.13621890958250272e-12,-2.08439846351800842e-15
0.05333333333,0.0533333333333332674,32.3636334509272459,74.3661939999974919,0.558596901595592499,0.558594318307613968,4.09115783471168948e-08,-1.86866401438859975,314.999988934673979,1.62455309265463671e-05,0,4.58902217517500643e-06,-7.75586146568743734e-07,1.55645949735417872e-05,-2.1110708842076093e-07,-6.78877145406149725e-06,6.80355814401515952e-09,0.000165910537750391107,6.10524665379020041e-05,0.000137798213642761208,0,0,0,3.07054597274805374,3.05847124466753773,0,268.257316083651233,8.33769215940621145,0,0,0,0,0,0,0,1.5864918136766855e-12,6.081858441043995e-11,-3.06776699354787682e-14
0.07833333333,0.078333333333333352,32.363633450928738,74.3661939999958861,0.558596305549144745,0.5585937215165514,-5.52941605699733467e-07,-1.86868024838073898,314.999988953891545,2.17857716747081918e-05,0,9.71414035721405163e-06,-3.742120578304923e-06,1.91377077561644425e-05,-6.85160803174240636e-07,-1.70314205981243559e-05,2.22996979426179093e-08,0.000268072102836858228,6.10532157065786838e-05,0.000151148397477079283,0,0,0,3.08804772446297671,3.05847124470645193,0,268.256728919159912,8.33767390977616607,0,0,0,0,0,0,0,6.90504586641381515e-12,2.04613852213778915e-10,-1.34841721582072715e-13
0.1033333333,0.103333333333333513,32.3636334509306423,74.3661939999939534,0.55859559029340744,0.558593007323968105,-2.05368227089556135e-06,-1.86871454253773162,314.999989002736356,3.08220623451193259e-05,2.20404426760446777e-05,1.6769283041309457e-05,-8.63864668645546647e-06,2.43754888548647641e-05,-1.49086970313911022e-06,-3.21605708604812314e-05,4.85688491602914805e-08,0.000372286396852827828,6.10543045320354957e-05,0.000247266667467219842,0,0,0,3.11283212804281906,3.05847124475261412,0,268.25614175466859,8.3376556601461207,0,0,0,0,0,0,0,2.12570255264668535e-11,5.46634016008802593e-10,-4.15500803678924956e-13
0.1283333333,0.128333333333333605,32.3636334509330936,74.3661939999915518,0.558594726026058197,0.558592146379484178,-4.94215562630451899e-06,-1.86877377266662914,314.999989096807326,4.41956095503243451e-05,2.20404426760446777e-05,2.56587053924500825e-05,-1.53694071829813984e-05,3.25371182490445863e-05,-2.63010302295529962e-06,-5.19346010448899732e-05,8.57097914151066283e-08,0.000468324705589107104,6.10558093359334401e-05,0.00037037649977106693,0,0,0,3.14457863254758108,3.05847124480868438,0,268.255554590177269,8.33763741051607354,0,0,0,0,0,0,0,5.37716048856837311e-11,1.26574767358352825e-09,-1.05138536367192548e-12
0.1533333333,0.153333333333333349,32.3636334509362413,74.3661939999885249,0.558593597263097763,0.558591014759271753,-9.67818042953360618e-06,-1.86886424252880068,314.999989251099692,6.15915399207375138e-05,3.81751665362187341e-05,3.61703259809145107e-05,-2.37223002546229471e-05,4.3846069138209555e-05,-4.07210262647859515e-06,-7.58147238407659341e-05,1.32739057072977953e-07,0.000550332489356541998,6.10576969577045838e-05,0.000484875779348969971,0,0,0,3.1829839122536745,3.05847124488191469,0,268.254967425685948,8.33761916088602817,0,0,0,0,0,0,0,1.16022144220347668e-10,2.57505097038695022e-09,-2.26919674223121562e-12
0.1783333333,0.178333333333333094,32.3636334509401706,74.366193999984759,0.558592140674591064,0.558589553762571911,-1.66694596411937273e-05,-1.86899138675955268,314.999989478957445,8.23636461092127871e-05,4.9283928077823267e-05,4.80403503177249705e-05,-3.34335176986360453e-05,5.79490710542537998e-05,-5.77591764314606553e-06,-0.000103134190480936341,1.88396415844884857e-07,0.000616117308237851269,6.10598755689164955e-05,0.000588168757502841727,0,0,0,3.22776076680504964,3.05847124497641509,0,268.254380261194626,8.33760091125598279,0,0,0,0,0,0,0,2.20068390053818371e-10,4.68435109186391209e-09,-4.30685807746151238e-12
0.2033333333,0.203333333333332839,32.3636334509448957,74.3661939999801689,0.558590330183506012,0.558587743822463012,-2.62589069050124304e-05,-1.86915962001621927,314.999989791643486,0.000105965885923023248,6.23397859063382721e-05,6.09772808894047558e-05,-4.4211552531051715e-05,7.45377677260612937e-05,-7.694402541573782e-06,-0.000133155273379825323,2.50983905232467523e-07,0.000665806215507269705,6.10622558513260254e-05,0.000677008357640555836,0,0,0,3.27863710110060191,3.05847124509387625,0,268.253793096703305,8.33758266162593742,0,0,0,0,0,0,0,3.77174294648457861e-10,7.78100427582528102e-09,-7.38183454109815736e-12
0.2283333333,0.228333333333332583,32.3636334509505517,74.3661939999746835,0.558588068932294846,0.558585483843193509,-3.87204953774443757e-05,-1.86937234650471429,314.999990198037437,0.000131764168698418794,7.94679462024038398e-05,7.47229511214916588e-05,-5.5798223325148464e-05,9.30850954892711201e-05,-9.78035086391844941e-06,-0.000165224594251218521,3.19035702371894001e-07,0.000701716644187500016,6.10647461587046441e-05,0.000741547955254735075,0,0,0,3.33535497863049679,3.05847124524082137,0,268.253205932211984,8.33756441199589204,0,0,0,0,0,0,0,5.96146326055024949e-10,1.20055823338205244e-08,-1.1667799928387614e-11
0.2533333333,0.253333333333332411,32.3636334509571313,74.3661939999682318,0.558585327118635178,0.558582737952073249,-5.42647748473703829e-05,-1.86963208106755951,314.999990705040602,0.000159167340094501324,9.35096788595073878e-05,8.90436407827578495e-05,-6.79598038824912585e-05,0.000113079340487917923,-1.19911014222837973e-05,-0.000198749354819962763,3.91161855475450574e-07,0.000724997984931086137,6.10672631321060327e-05,0.000787565462480328826,0,0,0,3.39766974246311504,3.05847124541846016,0,268.252618767720662,8.33754616236584667,0,0,0,0,0,0,0,8.82905343665980648e-10,1.74449968865624963e-08,-1.72807591367265278e-11
